IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.42.72,2086,2086,false,SIN,Asia Pacific,Singapore,16,9.44
8.222.236.229,2096,2096,true,SIN,Asia Pacific,Singapore,81,9.44
8.219.240.160,2053,2053,true,SIN,Asia Pacific,Singapore,55,9.43
8.222.128.131,8443,8443,true,SIN,Asia Pacific,Singapore,72,9.43
8.222.167.147,8443,8443,true,SIN,Asia Pacific,Singapore,94,9.43
47.236.150.13,2096,2096,true,SIN,Asia Pacific,Singapore,94,9.43
8.219.6.157,2086,2086,false,SIN,Asia Pacific,Singapore,8,9.42
8.219.102.252,443,443,true,SIN,Asia Pacific,Singapore,135,9.42
8.219.178.101,2096,2096,true,SIN,Asia Pacific,Singapore,58,9.42
47.236.174.206,2095,2095,false,SIN,Asia Pacific,Singapore,9,9.42
8.222.212.172,2083,2083,true,SIN,Asia Pacific,Singapore,148,9.42
47.236.172.95,2052,2052,false,SIN,Asia Pacific,Singapore,35,9.42
8.219.174.142,8880,8880,false,SIN,Asia Pacific,Singapore,5,9.42
8.222.252.150,8443,8443,true,SIN,Asia Pacific,Singapore,85,9.41
8.219.111.175,2052,2052,false,SIN,Asia Pacific,Singapore,9,9.41
8.219.238.145,80,80,false,SIN,Asia Pacific,Singapore,25,9.41
8.219.126.240,8443,8443,true,SIN,Asia Pacific,Singapore,73,9.41
8.219.194.170,2086,2086,false,SIN,Asia Pacific,Singapore,24,9.40
8.222.237.131,2052,2052,false,SIN,Asia Pacific,Singapore,21,9.40
8.219.99.169,2096,2096,true,SIN,Asia Pacific,Singapore,139,9.40
8.219.84.102,8443,8443,true,SIN,Asia Pacific,Singapore,75,9.40
8.219.250.239,2083,2083,true,SIN,Asia Pacific,Singapore,56,9.40
8.219.200.145,80,80,false,SIN,Asia Pacific,Singapore,28,9.39
47.236.145.85,8080,8080,false,SIN,Asia Pacific,Singapore,32,9.39
8.219.170.223,2052,2052,false,SIN,Asia Pacific,Singapore,20,9.39
8.219.152.195,2053,2053,true,SIN,Asia Pacific,Singapore,91,9.38
8.219.248.47,2082,2082,false,SIN,Asia Pacific,Singapore,14,9.38
47.236.164.215,80,80,false,SIN,Asia Pacific,Singapore,7,9.38
8.219.250.239,2082,2082,false,SIN,Asia Pacific,Singapore,32,9.38
8.219.50.180,2052,2052,false,SIN,Asia Pacific,Singapore,5,9.38
8.219.104.242,8080,8080,false,SIN,Asia Pacific,Singapore,14,9.38
8.222.146.222,2083,2083,true,SIN,Asia Pacific,Singapore,106,9.38
47.236.166.131,2052,2052,false,SIN,Asia Pacific,Singapore,22,9.37
8.219.97.179,8880,8880,false,SIN,Asia Pacific,Singapore,45,9.37
8.222.222.64,2096,2096,true,SIN,Asia Pacific,Singapore,71,9.36
8.219.97.179,2096,2096,true,SIN,Asia Pacific,Singapore,88,9.36
8.219.193.202,443,443,true,SIN,Asia Pacific,Singapore,98,9.36
47.76.178.146,8443,8443,true,HKG,Asia Pacific,Hong Kong,36,9.36
47.236.145.85,2082,2082,false,SIN,Asia Pacific,Singapore,45,9.36
8.222.244.192,8080,8080,false,SIN,Asia Pacific,Singapore,6,9.36
8.219.104.37,2052,2052,false,SIN,Asia Pacific,Singapore,29,9.35
8.219.1.92,8880,8880,false,SIN,Asia Pacific,Singapore,15,9.35
8.219.51.211,8443,8443,true,SIN,Asia Pacific,Singapore,137,9.35
8.222.180.242,2053,2053,true,SIN,Asia Pacific,Singapore,94,9.35
8.219.245.187,8880,8880,false,SIN,Asia Pacific,Singapore,19,9.35
8.218.211.17,2096,2096,true,HKG,Asia Pacific,Hong Kong,62,9.34
8.219.250.239,80,80,false,SIN,Asia Pacific,Singapore,10,9.34
8.219.201.174,443,443,true,SIN,Asia Pacific,Singapore,110,9.32
47.236.116.26,2086,2086,false,SIN,Asia Pacific,Singapore,22,9.32
8.219.122.96,443,443,true,SIN,Asia Pacific,Singapore,130,9.32
8.222.212.219,2087,2087,true,SIN,Asia Pacific,Singapore,49,9.31
8.219.191.40,2053,2053,true,SIN,Asia Pacific,Singapore,79,9.31
8.219.222.98,2083,2083,true,SIN,Asia Pacific,Singapore,111,9.31
8.219.5.10,2083,2083,true,SIN,Asia Pacific,Singapore,137,9.31
